SearchID,status_nom_sharing,status_act_sharing,data_format,format_category
MA140,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA145,nom_shared_both_code_data,act_shared_both_code_data,docx,Microsoft Word document
MA146,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA147,nom_shared_both_code_data,act_shared_both_code_data,csv,Comma-separated values (CSV)
MA148,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA149,nom_shared_data_only,act_shared_data_only,csv,Comma-separated values (CSV)
MA149,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA150,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA152,nom_shared_data_only,act_shared_data_only,docx,Microsoft Word document
MA155,nom_shared_both_code_data,act_shared_both_code_data,csv,Comma-separated values (CSV)
MA155,nom_shared_both_code_data,act_shared_both_code_data,txt,Plain text formats
MA157,nom_shared_data_only,act_shared_data_only,doc,Microsoft Word document
MA158,nom_shared_data_only,act_shared_data_only,csv,Comma-separated values (CSV)
MA160,nom_shared_data_only,act_shared_data_only,txt,Plain text formats
MA160,nom_shared_data_only,act_shared_data_only,nex,Plain text formats
MA162,nom_shared_data_only,act_shared_data_only,xls,Microsoft Excel spreadsheet
MA163,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA164,nom_shared_data_only,act_shared_data_only,docx,Microsoft Word document
MA169,nom_shared_data_only,act_shared_data_only,docx,Microsoft Word document
MA170,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA171,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA179,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA180,nom_shared_data_only,act_shared_data_only,docx,Microsoft Word document
MA181,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA182,nom_shared_data_only,act_shared_data_only,htm,Hypertext Markup Language (HTML)
MA184,nom_shared_data_only,act_shared_data_only,csv,Comma-separated values (CSV)
MA185,nom_shared_data_only,act_shared_data_only,nex,Plain text formats
MA185,nom_shared_data_only,act_shared_data_only,txt,Plain text formats
MA185,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA186,nom_shared_data_only,act_shared_data_only,docx,Microsoft Word document
MA187,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA188,nom_shared_both_code_data,act_shared_both_code_data,Rdata,RData format
MA190,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA190,nom_shared_data_only,act_shared_data_only,doc,Microsoft Word document
MA191,nom_shared_both_code_data,act_shared_both_code_data,xls,Microsoft Excel spreadsheet
MA191,nom_shared_both_code_data,act_shared_both_code_data,xlsx,Microsoft Excel spreadsheet
MA193,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA193,nom_shared_data_only,act_shared_data_only,txt,Plain text formats
MA194,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA195,nom_shared_data_only,act_shared_data_only,htm,Hypertext Markup Language (HTML)
MA197,nom_shared_data_only,act_shared_data_only,doc,Microsoft Word document
MA198,nom_shared_both_code_data,act_shared_both_code_data,txt,Plain text formats
MA201,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA202,nom_shared_both_code_data,act_shared_both_code_data,xlsx,Microsoft Excel spreadsheet
MA204,nom_shared_data_only,act_shared_data_only,xls,Microsoft Excel spreadsheet
MA204,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA205,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA206,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA207,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA208,nom_shared_data_only,act_shared_data_only,csv,Comma-separated values (CSV)
MA211,nom_shared_both_code_data,act_shared_both_code_data,csv,Comma-separated values (CSV)
MA212,nom_shared_both_code_data,act_shared_both_code_data,txt,Plain text formats
MA213,nom_shared_both_code_data,act_shared_both_code_data,csv,Comma-separated values (CSV)
MA213,nom_shared_both_code_data,act_shared_both_code_data,txt,Plain text formats
MA214,nom_shared_data_only,act_shared_data_only,htm,Hypertext Markup Language (HTML)
MA217,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA218,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA220,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA222,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA223,nom_shared_data_only,act_shared_data_only,pdf,Portable Document Format (PDF)
MA226,nom_shared_data_only,act_shared_data_only,xlsx,Microsoft Excel spreadsheet
MA226,nom_shared_data_only,act_shared_data_only,txt,Plain text formats
MA226,nom_shared_data_only,act_shared_data_only,obj,Other binary formats
MA229,nom_shared_both_code_data,act_shared_both_code_data,txt,Plain text formats
