"ID","result_type","es_type","compared","original","repro","percent_error","note"
"MA094","model output","N/A","r_squared",0.494,NA,NA,"Cannot calculate result, invalid value(s)"
"MA094","model output","N/A","p_value",1e-04,NA,NA,"Cannot calculate result, invalid value(s)"
