"ID","result_type","es_type","compared","original","repro","percent_error","note"
"MA067","mean","Hedges' g","point_est",-0.21,-0.21,0,"Original and reproduced values match exactly"
"MA067","mean","Hedges' g","se",0.07,0.07,0,"Original and reproduced values match exactly"
"MA067","mean","Hedges' g","z_value",-2.7,-2.8,3.7,"Original and reproduced values differ by less than 10%"
"MA067","mean","Hedges' g","p_value",0.006,0.005,16.67,"Original and reproduced values differ by at least 10%"
"MA067","mean","Hedges' g","n",52,52,0,"Original and reproduced values match exactly"
