code_type_clean,n,pct,latex_fmt
FORTRAN,1,3.5714285714285716,FORTRAN & 1 & 3.6 \\
Python,1,3.5714285714285716,Python & 1 & 3.6 \\
R,25,89.28571428571429,R & 25 & 89.3 \\
R and C++,1,3.5714285714285716,R and C++ & 1 & 3.6 \\
Total,28,100,Total & 28 & 100.0 \\
