"ID","result_type","es_type","compared","original","repro","percent_error","note"
"MA147","mean","percentage","point_est",0.13,0.13,0,"Original and reproduced values match exactly"
"MA147","mean","percentage","se",0.03,0.03,0,"Original and reproduced values match exactly"
"MA147","mean","percentage","ci_lower",0.074,0.074,0,"Original and reproduced values match exactly"
"MA147","mean","percentage","ci_upper",0.19,0.19,0,"Original and reproduced values match exactly"
"MA147","mean","percentage","n",49,49,0,"Original and reproduced values match exactly"
