"ID","result_type","es_type","compared","original","repro","percent_error","note"
"MA213","mean","difference in means","point_est",-0.07,-0.07,0,"Original and reproduced values match exactly"
"MA213","mean","difference in means","p_value",0.362,0.362,0,"Original and reproduced values match exactly"
"MA213","mean","difference in means","n",654,654,0,"Original and reproduced values match exactly"
