"ID","result_type","es_type","compared","original","repro","percent_error","note"
"MA126","mean","log odds ratio","point_est",-1.11,-1.11,0,"Original and reproduced values match exactly"
"MA126","mean","log odds ratio","se",0.49,0.49,0,"Original and reproduced values match exactly"
"MA126","mean","log odds ratio","ci_lower",-2.06,-2.06,0,"Original and reproduced values match exactly"
"MA126","mean","log odds ratio","ci_upper",-0.15,-0.15,0,"Original and reproduced values match exactly"
"MA126","mean","log odds ratio","z_value",-2.28,-2.28,0,"Original and reproduced values match exactly"
"MA126","mean","log odds ratio","p_value",0.023,0.023,0,"Original and reproduced values match exactly"
