"ID","result_type","es_type","compared","original","repro","percent_error","note"
"MA062","mean","Hedges' d","point_est",-0.205,-0.204,0.49,"Original and reproduced values differ by less than 10%"
"MA062","mean","Hedges' d","ci_lower",-0.444,-0.446,0.45,"Original and reproduced values differ by less than 10%"
"MA062","mean","Hedges' d","ci_upper",0.035,0.039,11.43,"Original and reproduced values differ by at least 10%"
"MA062","mean","Hedges' d","n",37,37,0,"Original and reproduced values match exactly"
